LocationID,Zone,Borough,service_zone,pickup_count,dropoff_count
39,Canarsie,Brooklyn,Boro Zone,15446,23478.0
146,Long Island City/Queens Plaza,Queens,Boro Zone,21468,31277.0
42,Central Harlem North,Manhattan,Boro Zone,60073,169712.0
15,Bay Terrace/Fort Totten,Queens,Boro Zone,769,4814.0
21,Bensonhurst East,Brooklyn,Boro Zone,2235,5622.0
155,Marine Park/Mill Basin,Brooklyn,Boro Zone,4568,11889.0
176,Oakwood,Staten Island,Boro Zone,38,300.0
24,Bloomingdale,Manhattan,Yellow Zone,105663,132088.0
161,Midtown Center,Manhattan,Yellow Zone,1914607,1539905.0
173,North Corona,Queens,Boro Zone,2050,7957.0
179,Old Astoria,Queens,Boro Zone,10496,34759.0
45,Chinatown,Manhattan,Yellow Zone,65301,116842.0
18,Bedford Park,Bronx,Boro Zone,2811,6117.0
152,Manhattanville,Manhattan,Boro Zone,31862,59054.0
30,Broad Channel,Queens,Boro Zone,96,447.0
3,Allerton/Pelham Gardens,Bronx,Boro Zone,1726,3656.0
36,Bushwick North,Brooklyn,Boro Zone,8920,27741.0
164,Midtown South,Manhattan,Yellow Zone,938704,897495.0
149,Madison,Brooklyn,Boro Zone,2545,6953.0
9,Auburndale,Queens,Boro Zone,847,4315.0
137,Kips Bay,Manhattan,Yellow Zone,438033,515987.0
134,Kew Gardens,Queens,Boro Zone,6061,14459.0
48,Clinton East,Manhattan,Yellow Zone,1040759,1002692.0
140,Lenox Hill East,Manhattan,Yellow Zone,804618,821589.0
265,Outside of NYC,,,24001,183903.0
6,Arrochar/Fort Wadsworth,Staten Island,Boro Zone,584,1095.0
12,Battery Park,Manhattan,Yellow Zone,17210,25559.0
143,Lincoln Square West,Manhattan,Yellow Zone,459686,598781.0
170,Murray Hill,Manhattan,Yellow Zone,1176583,1212888.0
158,Meatpacking/West Village West,Manhattan,Yellow Zone,415578,426960.0
33,Brooklyn Heights,Brooklyn,Boro Zone,30007,102967.0
27,Breezy Point/Fort Tilden/Riis Beach,Queens,Boro Zone,189,957.0
167,Morrisania/Melrose,Bronx,Boro Zone,4263,6311.0
78,East Tremont,Bronx,Boro Zone,3466,5437.0
206,Saint George/New Brighton,Staten Island,Boro Zone,61,839.0
197,Richmond Hill,Queens,Boro Zone,11013,19828.0
57,Corona,Queens,Boro Zone,299,889.0
182,Parkchester,Bronx,Boro Zone,4190,5721.0
60,Crotona Park East,Bronx,Boro Zone,2162,3217.0
212,Soundview/Bruckner,Bronx,Boro Zone,2690,4182.0
90,Flatiron,Manhattan,Yellow Zone,652648,602836.0
75,East Harlem South,Manhattan,Boro Zone,263733,473581.0
185,Pelham Parkway,Bronx,Boro Zone,1797,4934.0
63,Cypress Hills,Brooklyn,Boro Zone,4083,9496.0
218,Springfield Gardens North,Queens,Boro Zone,4878,11568.0
188,Prospect-Lefferts Gardens,Brooklyn,Boro Zone,16566,36334.0
66,DUMBO/Vinegar Hill,Brooklyn,Boro Zone,21277,54262.0
209,Seaport,Manhattan,Yellow Zone,87461,120686.0
200,Riverdale/North Riverdale/Fieldston,Bronx,Boro Zone,1780,12787.0
221,Stapleton,Staten Island,Boro Zone,166,936.0
93,Flushing Meadows-Corona Park,Queens,Boro Zone,19995,19179.0
81,Eastchester,Bronx,Boro Zone,2221,3862.0
87,Financial District North,Manhattan,Yellow Zone,235448,337268.0
72,East Flatbush/Remsen Village,Brooklyn,Boro Zone,11113,15068.0
51,Co-Op City,Bronx,Boro Zone,5863,8282.0
191,Queens Village,Queens,Boro Zone,4647,11415.0
194,Randalls Island,Manhattan,Yellow Zone,1949,5582.0
96,Forest Park/Highland Park,Queens,Boro Zone,306,1421.0
215,South Jamaica,Queens,Boro Zone,8749,13628.0
224,Stuy Town/Peter Cooper Village,Manhattan,Yellow Zone,63019,163372.0
69,East Concourse/Concourse Village,Bronx,Boro Zone,6729,13898.0
54,Columbia Street,Brooklyn,Boro Zone,1818,9059.0
203,Rosedale,Queens,Boro Zone,2631,8984.0
227,Sunset Park East,Brooklyn,Boro Zone,2200,8383.0
84,Eltingville/Annadale/Prince's Bay,Staten Island,Boro Zone,21,363.0
144,Little Italy/NoLiTa,Manhattan,Yellow Zone,424878,402327.0
111,Green-Wood Cemetery,Brooklyn,Boro Zone,75,343.0
236,Upper East Side North,Manhattan,Yellow Zone,1729896,1793164.0
1,Newark Airport,EWR,EWR,5940,111881.0
257,Windsor Terrace,Brooklyn,Boro Zone,2042,17295.0
135,Kew Gardens Hills,Queens,Boro Zone,2469,10915.0
